,Author,Title,Publication Date,Journal,DOI or ISSN or Link,Documented or Projected,Date Range of Study,Year,Study Area,Continent or Region,Country,Freshwater Ecoregion,Major Habitat Type,Waterbody Type,Lentic or Lotic,Climate Change Variable,Focal Species or Assemblage,Additional Species,Response Category,Response Variable,Fish_Response,Thermal Guild,Family or Fish Assemblage,Feeding Type,Feeding Habit,Reproductive Guild - Parental Care,Reproductive Guild - Pattern of Care,Binary Response,Management Recommendations
152,Lombardo et al.,Evidence for temperature-dependent shifts in spawning times of anadromous alewife (alosa pseudoharengus) and blueback herring (alosa aestivalis),2020,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2019-0140,documented,1973-2016,1994,"Ablemarle Sound watershed, North Carolina, United States of America",North America,United States,Appalachian Piedmont,Temperate coastal rivers,stream,lotic,temperature,Alewife (Alosa pseudoharengus),NA,phenological,spawning migration timing,decrease,cool,Clupeidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring; Modify fishing regulations
153,Lombardo et al.,Evidence for temperature-dependent shifts in spawning times of anadromous alewife (alosa pseudoharengus) and blueback herring (alosa aestivalis),2020,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2019-0140,documented,1973-2017,1995,"Ablemarle Sound watershed, North Carolina, United States of America",North America,United States,Appalachian Piedmont,Temperate coastal rivers,stream,lotic,temperature,Blueback Herring (Alosa aestivalis),NA,phenological,spawning migration timing,decrease,cool,Clupeidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring; Modify fishing regulations
154,Notch et al.,Outmigration survival of wild chinook salmon smolts through the sacramento river during historic drought and high water conditions,2020,Environmental Biology of Fishes,10.1007/s10641-020-00952-1,documented,2013-2017,2015,"Mill Creek and Sacramento River, Central Valley, California, United States of America",North America,United States,Sacramento - San Joaquin,Temperate coastal rivers,stream,lotic,"precipitation, temperature",Chinook Salmon (Oncorhynchus tshawytscha),NA,demographic,survival estimates; outmigration,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,negative (-),Manage flows
155,Notch et al.,Outmigration survival of wild chinook salmon smolts through the sacramento river during historic drought and high water conditions,2020,Environmental Biology of Fishes,10.1007/s10641-020-00952-1,documented,2013-2018,2015,"Mill Creek and Sacramento River, Central Valley, California, United States of America",North America,United States,Sacramento - San Joaquin,Temperate coastal rivers,stream,lotic,"precipitation, temperature",Chinook Salmon (Oncorhynchus tshawytscha),NA,phenological,growth rate; smoltification,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,positive (+),Manage flows
156,Nepal et al.,Density-dependence mediates the effects of temperature on growth of juvenile blue catfish in nonnative habitats,2020,Transactions of the American Fisheries Society,10.1002/tafs.10217,documented,1996-2017,2006,"Rappahannock, York and James Rivers, Virginia, United States of America",North America,United States,Chesapeake Bay,Temperate coastal rivers,stream,lotic,temperature,Blue Catfish (Ictalurus furcatus),NA,phenological,growth rate,increase,warm,Ictaluridae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,positive (+),No formal management recommendation
157,Nepal et al.,Density-dependence mediates the effects of temperature on growth of juvenile blue catfish in nonnative habitats,2020,Transactions of the American Fisheries Society,10.1002/tafs.10217,documented,1996-2018,2007,"Rappahannock, York and James Rivers, Virginia, United States of America",North America,United States,Chesapeake Bay,Temperate coastal rivers,stream,lotic,temperature,Blue Catfish (Ictalurus furcatus),NA,distributional,density,decrease,warm,Ictaluridae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,negative (-),No formal management recommendation
158,Nozzi et al.,"Responses of fish communities to longitudinal thermal gradients in coldwater, lake outflow streams",2021,Environmental Biology of Fishes,10.1007/s10641-021-01149-w,documented,2019,2019,"Central Wisconsin, US",North America,United States,Upper Mississippi; Laurentian Great Lakes,Temperate floodplain rivers and wetlands,"lake, stream",lotic,temperature,Black Bullhead (Ameiurus melas),NA,distributional,range shift,increase,warm,Ictaluridae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,positive (+),No formal management recommendation
159,Nozzi et al.,"Responses of fish communities to longitudinal thermal gradients in coldwater, lake outflow streams",2021,Environmental Biology of Fishes,10.1007/s10641-021-01149-w,documented,2019,2019,"Central Wisconsin, US",North America,United States,Upper Mississippi; Laurentian Great Lakes,Temperate floodplain rivers and wetlands,"lake, stream",lotic,temperature,Blacknose Dace (Rhinichthys atratulus),NA,distributional,range shift,increase,cool,Cyprinidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),No formal management recommendation
160,Nozzi et al.,"Responses of fish communities to longitudinal thermal gradients in coldwater, lake outflow streams",2021,Environmental Biology of Fishes,10.1007/s10641-021-01149-w,documented,2019,2019,"Central Wisconsin, US",North America,United States,Upper Mississippi; Laurentian Great Lakes,Temperate floodplain rivers and wetlands,"lake, stream",lotic,temperature,Brook Trout (Salvelinus fontinalis),NA,distributional,range shift,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),No formal management recommendation
161,Nozzi et al.,"Responses of fish communities to longitudinal thermal gradients in coldwater, lake outflow streams",2021,Environmental Biology of Fishes,10.1007/s10641-021-01149-w,documented,2019,2019,"Central Wisconsin, US",North America,United States,Upper Mississippi; Laurentian Great Lakes,Temperate floodplain rivers and wetlands,"lake, stream",lotic,temperature,Brown Bullhead (Ameiurus nebulosus),NA,distributional,range shift,increase,warm,Ictaluridae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,positive (+),No formal management recommendation
162,Nozzi et al.,"Responses of fish communities to longitudinal thermal gradients in coldwater, lake outflow streams",2021,Environmental Biology of Fishes,10.1007/s10641-021-01149-w,documented,2019,2019,"Central Wisconsin, US",North America,United States,Upper Mississippi; Laurentian Great Lakes,Temperate floodplain rivers and wetlands,"lake, stream",lotic,temperature,Brown Trout (Salmo trutta),NA,distributional,range shift,decrease,cool,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),No formal management recommendation
163,Nozzi et al.,"Responses of fish communities to longitudinal thermal gradients in coldwater, lake outflow streams",2021,Environmental Biology of Fishes,10.1007/s10641-021-01149-w,documented,2019,2019,"Central Wisconsin, US",North America,United States,Upper Mississippi; Laurentian Great Lakes,Temperate floodplain rivers and wetlands,"lake, stream",lotic,temperature,Central Mudminnow (Umbra limi),NA,distributional,range shift,increase,cool,Umbridae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,clutch tenders,positive (+),No formal management recommendation
164,Nozzi et al.,"Responses of fish communities to longitudinal thermal gradients in coldwater, lake outflow streams",2021,Environmental Biology of Fishes,10.1007/s10641-021-01149-w,documented,2019,2019,"Central Wisconsin, US",North America,United States,Upper Mississippi; Laurentian Great Lakes,Temperate floodplain rivers and wetlands,"lake, stream",lotic,temperature,Creek Chub (Semotilus atromaculatus),NA,distributional,range shift,increase,cool,Cyprinidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,positive (+),No formal management recommendation
165,Nozzi et al.,"Responses of fish communities to longitudinal thermal gradients in coldwater, lake outflow streams",2021,Environmental Biology of Fishes,10.1007/s10641-021-01149-w,documented,2019,2019,"Central Wisconsin, US",North America,United States,Upper Mississippi; Laurentian Great Lakes,Temperate floodplain rivers and wetlands,"lake, stream",lotic,temperature,Mottled Sculpin (Cottus bairdii),NA,distributional,range shift,increase,cool,Cottidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,positive (+),No formal management recommendation
166,Reale et al.,Differential effects of a catastrophic wildfire on downstream fish assemblages in an aridland river,2021,Aquatic Ecology,10.1007/s10452-021-09839-4,documented,2010-2014,2012,"Buckman (30 river-km upstream of Cochiti Dam) Rio Grande watershed in New Mexico, US",North America,United States,Upper Rio Grande - Bravo,Temperate upland rivers,stream,lotic,"flow, precipitation",Fish Assemblage,NA,assemblage dynamics,abundance,decrease,unknown,Fish Assemblage,NA,variable,NA,NA,negative (-),No formal management recommendation
167,Reale et al.,Differential effects of a catastrophic wildfire on downstream fish assemblages in an aridland river,2021,Aquatic Ecology,10.1007/s10452-021-09839-4,documented,2010-2014,2012,"Buckman (30 river-km upstream of Cochiti Dam) Rio Grande watershed in New Mexico, US",North America,United States,Upper Rio Grande - Bravo,Temperate upland rivers,stream,lotic,"flow, precipitation",Fish Assemblage,NA,assemblage dynamics,abundance,decrease,unknown,Fish Assemblage,NA,variable,NA,NA,negative (-),No formal management recommendation
168,Reale et al.,Differential effects of a catastrophic wildfire on downstream fish assemblages in an aridland river,2021,Aquatic Ecology,10.1007/s10452-021-09839-4,documented,2010-2014,2012,"Buckman (30 river-km upstream of Cochiti Dam) Rio Grande watershed in New Mexico, US",North America,United States,Upper Rio Grande - Bravo,Temperate upland rivers,stream,lotic,"flow, precipitation",Fish Assemblage,NA,assemblage dynamics,abundance,decrease,unknown,Fish Assemblage,NA,variable,NA,NA,negative (-),No formal management recommendation
169,Reale et al.,Differential effects of a catastrophic wildfire on downstream fish assemblages in an aridland river,2021,Aquatic Ecology,10.1007/s10452-021-09839-4,documented,2010-2014,2012,"Buckman (30 river-km upstream of Cochiti Dam) Rio Grande watershed in New Mexico, US",North America,United States,Upper Rio Grande - Bravo,Temperate upland rivers,stream,lotic,"flow, precipitation",Fish Assemblage,NA,assemblage dynamics,abundance,decrease,unknown,Fish Assemblage,NA,variable,NA,NA,negative (-),No formal management recommendation
170,Legett et al.,Daily Patterns of River Herring (Alosa spp.) Spawning Migrations: Environmental Drivers and Variation among Coastal Streams in Massachusetts,2021,Transactions of the American Fisheries Society,10.1002/tafs.10301,documented,1990-2017,2003,"Coastal streams in Massachusettes, US",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,stream,lotic,temperature,River Herring (Alosa Spp.),"Alewife (Alosa pseudoharengus), Blueback Herring (Alosa aestivalis)",demographic,"abundance, migration",variable,cool,Clupeidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,mixed effects (+/-),No formal management recommendation
171,Sol et al.,Fish communities in the tidal freshwater wetlands of the lower columbia river,2021,Northwest Science,10.3955/046.094.0301,documented,2008-2016,2012,"Lower Columbia River, Columbia River Basin, US",North America,United States,Columbia Unglaciated,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Fish Assemblage,NA,distributional,fish density,variable,unknown,Fish Assemblage,NA,NA,NA,NA,mixed effects (+/-),Conduct research and/or monitoring; Other
172,Sol et al.,Fish communities in the tidal freshwater wetlands of the lower columbia river,2021,Northwest Science,10.3955/046.094.0301,documented,2008-2016,2012,"Lower Columbia River, Columbia River Basin, US",North America,United States,Columbia Unglaciated,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Fish Assemblage,NA,distributional,fish density,variable,unknown,Fish Assemblage,NA,NA,NA,NA,mixed effects (+/-),Conduct research and/or monitoring; Other
173,Sol et al.,Fish communities in the tidal freshwater wetlands of the lower columbia river,2021,Northwest Science,10.3955/046.094.0301,documented,2008-2016,2012,"Lower Columbia River, Columbia River Basin, US",North America,United States,Columbia Unglaciated,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Fish Assemblage,NA,distributional,fish density,no change,unknown,Fish Assemblage,NA,NA,NA,NA,no effect,Conduct research and/or monitoring; Other
174,Pennock et al.,Spatial and temporal dynamics of fish assemblages in a desert reservoir over 38 years,2021,Hydrobiologia,10.1007/s10750-021-04514-z,documented,1981-2018,1999,"Lake Powell, United States",North America,United States,Colorado,Xeric freshwaters and endorheic (closed) basins,lake,lentic,"flow, temperature",Walleye (Sander vitreus),NA,demographic,abundance,increase,warm,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),No formal management recommendation
175,Loewen et al.,Bioregions are predominantly climatic for fishes of northern lakes,2021,Global Ecology and Biogeography,10.1111/geb.13424,documented,1957-2017,1987,"Southwestern Hudson Bay, Mississippi River and St. Lawrence River drainages in Ontario, Canada and Upper Midwest US, across 10.016 lakes",North America,"Canada, United States",English - Winnipeg Lakes; Laurentian Great Lakes; Upper Missouri; Middle Missouri; Central Prairie; Ozark Highlands; Upper Mississippi; Teays - Old Ohio,Large lakes; Temperate floodplain rivers and wetlands; Temperate upland rivers,lake,lentic,temperature,Fish Assemblage,NA,distributional,"spatial pattern, bioregion, regional species pool",variable,unknown,Fish Assemblage,NA,NA,NA,NA,mixed effects (+/-),Alter stocking practices; Conduct research and/or monitoring; Manage flows; Other; Prioritize populations based on vulnerability; Restore connectivity
176,Goertler et al.,"Striped bass (morone saxatilis) migration timing driven by estuary outflow and sea surface temperature in the san francisco bay-delta, california",2021,Scientific Reports,10.1038/s41598-020-80517-5,documented,1969-2016,1992,"San Francisco Bay Delta, the Sacramento and San Joaquin Rivers, California, US",North America,United States,Sacramento - San Joaquin,Temperate coastal rivers,stream,lotic,"flow, temperature",Striped Bass (Morone saxatilis),NA,phenological,upstream migration timing,increase,warm,Moronidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,negative (-),No formal management recommendation
177,Marcek et al.,Ecosystem change as a driver of fish recruitment dynamics: a case study of two lake erie yellow perch populations,2021,Freshwater Biology,10.1111/fwb.13707,documented,1969-2018,1993,Lake Erie west basin,North America,United States,Laurentian Great Lakes,Large lakes,lake,lentic,temperature,Yellow Perch (Perca flavescens),NA,phenological,recruitment and spawning phenology,increase,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),Conduct research and/or monitoring
178,Marcek et al.,Ecosystem change as a driver of fish recruitment dynamics: a case study of two lake erie yellow perch populations,2021,Freshwater Biology,10.1111/fwb.13707,documented,1969-2018,1993,Lake Erie central basin,North America,United States,Laurentian Great Lakes,Large lakes,lake,lentic,temperature,Yellow Perch (Perca flavescens),NA,phenological,recruitment and spawning phenology,variable,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),Conduct research and/or monitoring
179,Massie et al.,Do lake-specific characteristics mediate the temporal relationship between walleye growth and warming water temperatures?,2021,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2020-0169,documented,1983-2018,2000,"Minnesota and Wisconsin, US",North America,United States,English - Winnipeg Lakes; Upper Mississippi; Laurentian Great Lakes; Middle Missouri,Large lakes; Temperate floodplain rivers and wetlands,lake,lentic,temperature,Walleye (Sander vitreus),NA,demographic,growth,increase,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),No formal management recommendation
180,Huntsman et al.,Interacting effects of density-dependent and density-independent factors on growth rates in southwestern cutthroat trout populations,2021,Transactions of the American Fisheries Society,10.1002/tafs.10319,documented,2016-2017,2016,"upper Rio Grande, northern New Mexico",North America,United States,Upper Rio Grande - Bravo,Temperate upland rivers,stream,lotic,temperature,Rio Grande Cutthroat Trout (Oncorhynchus clarkii virginalis),NA,demographic,growth rate,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),No formal management recommendation
181,Marsha et al.,Modeling thermal metrics of importance for native vs non-native fish across stream networks to provide insight for watershed-scale fisheries management,2021,Freshwater Science,10.1086/713038,documented,2011-2017,2014,"Snoqualmie River Basin, Washington, US",North America,United States,Alaska & Canada Pacific Coastal,Temperate upland rivers,stream,lotic,temperature,Bull Trout (Salvelinus confluentus),NA,phenological,spawning,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,positive (+),No formal management recommendation
182,Marsha et al.,Modeling thermal metrics of importance for native vs non-native fish across stream networks to provide insight for watershed-scale fisheries management,2021,Freshwater Science,10.1086/713038,documented,2011-2017,2014,"Snoqualmie River Basin, Washington, US",North America,United States,Alaska & Canada Pacific Coastal,Temperate upland rivers,stream,lotic,temperature,Chinook Salmon (Oncorhynchus tshawytscha),NA,phenological,spawning,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,positive (+),No formal management recommendation
183,Marsha et al.,Modeling thermal metrics of importance for native vs non-native fish across stream networks to provide insight for watershed-scale fisheries management,2021,Freshwater Science,10.1086/713038,documented,2011-2017,2014,"Snoqualmie River Basin, Washington, US",North America,United States,Alaska & Canada Pacific Coastal,Temperate upland rivers,stream,lotic,temperature,Largemouth Bass (Micropterus salmoides),NA,phenological,spawning,variable,warm,Centrarchidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,mixed effects (+/-),No formal management recommendation
184,Andrew et al,Climate change influence on brook trout populations in the Central Appalachians,2022,Ecology of Freshwater Fish,10.1111/eff.12664,documented,2003-2020,2011,"Central Appalachian Mountains streams, West Virginia, USA (Middle fork river, Upper elk river, Cranberry river, Potomac river, Greenbrier river, Dry fork)",North America,United States,Teays - Old Ohio; Chesapeake Bay,Temperate upland rivers; Temperate coastal rivers,stream,lotic,precipitation,Brook Trout (Salvelinus fontinalis),NA,demographic,abundance,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),No formal management recommendation
185,Andrew et al,Climate change influence on brook trout populations in the Central Appalachians,2022,Ecology of Freshwater Fish,10.1111/eff.12664,documented,2003-2020,2011,"Central Appalachian Mountains streams, West Virginia, USA (Middle fork river, Upper elk river, Cranberry river, Potomac river, Greenbrier river, Dry fork)",North America,United States,Teays - Old Ohio; Chesapeake Bay,Temperate upland rivers; Temperate coastal rivers,stream,lotic,precipitation,Brook Trout (Salvelinus fontinalis),NA,demographic,abundance,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),No formal management recommendation
186,Andrew et al,Climate change influence on brook trout populations in the Central Appalachians,2022,Ecology of Freshwater Fish,10.1111/eff.12664,documented,2003-2020,2011,"Central Appalachian Mountains streams, West Virginia, USA (Middle fork river, Upper elk river, Cranberry river, Potomac river, Greenbrier river, Dry fork)",North America,United States,Teays - Old Ohio; Chesapeake Bay,Temperate upland rivers; Temperate coastal rivers,stream,lotic,temperature,Brook Trout (Salvelinus fontinalis),NA,demographic,abundance,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),No formal management recommendation
187,Andrew et al,Climate change influence on brook trout populations in the Central Appalachians,2022,Ecology of Freshwater Fish,10.1111/eff.12664,documented,2003-2020,2011,"Central Appalachian Mountains streams, West Virginia, USA (Middle fork river, Upper elk river, Cranberry river, Potomac river, Greenbrier river, Dry fork)",North America,United States,Teays - Old Ohio; Chesapeake Bay,Temperate upland rivers; Temperate coastal rivers,stream,lotic,precipitation,Brook Trout (Salvelinus fontinalis),NA,demographic,abundance,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),No formal management recommendation
188,Andrew et al,Climate change influence on brook trout populations in the Central Appalachians,2022,Ecology of Freshwater Fish,10.1111/eff.12664,documented,2003-2020,2011,"Central Appalachian Mountains streams, West Virginia, USA (Middle fork river, Upper elk river, Cranberry river, Potomac river, Greenbrier river, Dry fork)",North America,United States,Teays - Old Ohio; Chesapeake Bay,Temperate upland rivers; Temperate coastal rivers,stream,lotic,temperature,Brook Trout (Salvelinus fontinalis),NA,demographic,abundance,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,positive (+),No formal management recommendation
189,Andrew et al,Climate change influence on brook trout populations in the Central Appalachians,2022,Ecology of Freshwater Fish,10.1111/eff.12664,documented,2003-2020,2011,"Central Appalachian Mountains streams, West Virginia, USA (Middle fork river, Upper elk river, Cranberry river, Potomac river, Greenbrier river, Dry fork)",North America,United States,Teays - Old Ohio; Chesapeake Bay,Temperate upland rivers; Temperate coastal rivers,stream,lotic,precipitation,Brook Trout (Salvelinus fontinalis),NA,demographic,abundance,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,positive (+),No formal management recommendation
190,Kirk et al,Climatic drivers and ecological impacts of a rapid range expansion by non-native smallmouth bass,2022,Biological Invasions,10.1007/s10530-021-02724-z,documented,2009-2019,2014,"Laramie River, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,precipitation,Fish Assemblage,NA,assemblage dynamics,species richness,no change,unknown,Fish Assemblage,NA,NA,NA,NA,no effect,Conduct research and/or monitoring
191,Kirk et al,Climatic drivers and ecological impacts of a rapid range expansion by non-native smallmouth bass,2022,Biological Invasions,10.1007/s10530-021-02724-z,documented,2009-2019,2014,"Laramie River, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,flow,Fish Assemblage,NA,assemblage dynamics,species richness,no change,unknown,Fish Assemblage,NA,NA,NA,NA,no effect,Conduct research and/or monitoring
192,Kirk et al,Climatic drivers and ecological impacts of a rapid range expansion by non-native smallmouth bass,2022,Biological Invasions,10.1007/s10530-021-02724-z,documented,2009-2019,2014,"Laramie River, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,flow,Fish Assemblage,Leucisidae,demographic,abundance,decrease,unknown,Leuciscidae,NA,NA,NA,NA,negative (-),Conduct research and/or monitoring
193,Kirk et al,Climatic drivers and ecological impacts of a rapid range expansion by non-native smallmouth bass,2022,Biological Invasions,10.1007/s10530-021-02724-z,documented,2009-2019,2014,"Laramie River, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,precipitation,Minnows (Leucisidae),NA,demographic,abundance,decrease,unknown,Leuciscidae,NA,NA,NA,NA,negative (-),Conduct research and/or monitoring
194,Kirk et al,Climatic drivers and ecological impacts of a rapid range expansion by non-native smallmouth bass,2022,Biological Invasions,10.1007/s10530-021-02724-z,documented,2009-2019,2014,"Laramie River, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,precipitation,Smallmouth Bass (Micropterus dolomieu),NA,distributional,range shifts,increase,warm,Centrarchidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,positive (+),Conduct research and/or monitoring
195,Kirk et al,Climatic drivers and ecological impacts of a rapid range expansion by non-native smallmouth bass,2022,Biological Invasions,10.1007/s10530-021-02724-z,documented,2009-2019,2014,"Laramie River, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,flow,Smallmouth Bass (Micropterus dolomieu),NA,distributional,range shifts,increase,warm,Centrarchidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,positive (+),Conduct research and/or monitoring
196,Zebro et al,Density-dependent and environmental influences on juvenile walleye Sander vitreus (Mitchill) survivorship in northern Wisconsin lakes,2022,Fisheries Management and Ecology,10.1111/fme.12591,documented,1986-2019,2002,northern third of Wisconsin,North America,United States,Laurentian Great Lakes; Upper Mississippi,Large lakes; Temperate floodplain rivers and wetlands,lake,lentic,temperature,Walleye (Sander vitreus),NA,demographic,survival,decrease,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,negative (-),No formal management recommendation
197,Zebro et al,Density-dependent and environmental influences on juvenile walleye Sander vitreus (Mitchill) survivorship in northern Wisconsin lakes,2022,Fisheries Management and Ecology,10.1111/fme.12591,documented,1986-2019,2002,northern third of Wisconsin,North America,United States,Laurentian Great Lakes; Upper Mississippi,Large lakes; Temperate floodplain rivers and wetlands,lake,lentic,temperature,Walleye (Sander vitreus),NA,demographic,survival,variable,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,mixed effects (+/-),No formal management recommendation
198,Marjadi et al.,Effects of freshwater residence time on reproductive success in anadromous alewife (Alosa pseudoharengus) climate change implications,2022,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2022-0086,documented,2014-2015,2014,"Pentucket Pond, Georgetown, Massachusetts, USA",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,lake,lentic,temperature,Alewife (Alosa pseudoharengus),NA,phenological,residence time,decrease,cool,Clupeidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring
199,Hance et al.,"From drought to deluge: spatiotemporal variation in migration routing, survival, travel time and floodplain use of an endangered migratory fish",2022,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2021-0042,documented,2014-2018,2016,"Sacramento River, California, USA",North America,United States,Sacramento - San Joaquin,Temperate coastal rivers,stream,lotic,flow,Chinook Salmon (Oncorhynchus tshawytscha),NA,demographic,survival,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,positive (+),Manage flows
200,Hance et al.,"From drought to deluge: spatiotemporal variation in migration routing, survival, travel time and floodplain use of an endangered migratory fish",2022,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2021-0042,documented,2014-2018,2016,"Sacramento River, California, USA",North America,United States,Sacramento - San Joaquin,Temperate coastal rivers,stream,lotic,temperature,Chinook Salmon (Oncorhynchus tshawytscha),NA,demographic,survival,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,negative (-),Manage flows
201,Hance et al.,"From drought to deluge: spatiotemporal variation in migration routing, survival, travel time and floodplain use of an endangered migratory fish",2022,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2021-0042,documented,2014-2018,2016,"Sacramento River, California, USA",North America,United States,Sacramento - San Joaquin,Temperate coastal rivers,stream,lotic,flow,Chinook Salmon (Oncorhynchus tshawytscha),NA,phenological,migration timing,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,negative (-),Manage flows
202,Bowser et al.,Invasive Species Appearance and Climate Change Correspond with Dramatic Regime Shift in Thermal Guild Composition of Lake Huron Beach Fish Assemblages,2022,Fishes,10.3390/fishes7050263,documented,1993-2012,2002,"Lake Huron, Michigan, USA",North America,United States,Laurentian Great Lakes,Large lakes,lake,lentic,temperature,Fish Assemblage,"Alewife (Alosa pseudoharengus), Banded killfish (Fundulus diaphanous), Bluntnose minnow (Pimephales notatus), Chinook salmon (Oncorhynchus tshawytscha), Common shiner (Luxilus cornutus), Emerald shiner (Notropis atherinoides), Lake whitefish (Coregonus clupeaformis), Longnose dace (Rhinichthys cataractae), Mimic shiner (Notropis volucellus), Rainbow smelt (Osmerus mordax), Round goby (Neogobius melanostomus), Sand shiner (Notropis stramineus), Spotfin shiner (Cyprinella spiloptera), Spottail shiner (Notropis hudsonius), Trout perch (Percopsis omiscomaycus), Yellow perch (Perca flavescens)",assemblage dynamics,community composition,increase,"cold, cool, warm",Fish Assemblage,NA,NA,NA,NA,positive (+),Conduct research and/or monitoring
